,x
1,0.6
2,0.6371496
3,7.276127
4,27.3897641
5,21.12
6,29.2269199
7,27.3210925
8,30.123
9,41.129366
10,29.83675
11,94.7098613
12,85.01275
13,73.26575
14,76.93845
15,80.57612
16,71.14612
17,70.41395
18,60.26314
19,51.14597
20,43.905231
21,36.452293
22,25.51601
23,21.416893
24,20.35423891
25,22.363273
26,18.40694
27,19.40694
28,21.162213
29,20.47812
30,21.36093
31,22.362913
32,19.3634
33,18.36391
34,22.52534
35,20.362929
36,21.445042
37,21.335
38,19.363471
39,18.34694
40,20.354284