"","Control","Infection"
"1",3.06003468469535e-11,2.26524941008604e-11
"2",5.21914197248919e-10,4.02501963430219e-10
"3",9.1299846752423e-09,7.32350255257925e-09
"4",1.66330811913326e-07,1.38565438514738e-07
"5",3.13007614916778e-06,2.70439155617113e-06
"6",5.71529251282341e-05,5.11443754692706e-05
"7",0.000936258116695161,0.000865758975132137
"8",0.00980635509483792,0.00926010137262699
"9",0.0368977829465766,0.0346500302996861
"10",0.0662890488788674,0.0615153564599197
"11",0.0929664445191163,0.0853156933767739
"12",0.118271350409888,0.107214742666725
"13",0.142625956884269,0.127497595778214
"14",0.166207701224938,0.146240602286935
"15",0.189161620485426,0.163501674942857
"16",0.211620551270432,0.179341242178218
"17",0.23370510558565,0.19382482402376
"18",0.255522768682649,0.207023107948789
"19",0.277167568301131,0.219011009924251
"20",0.298720333368822,0.229866198780601
"21",0.32024942215701,0.239667437123986
"22",0.341811771017257,0.248492989184436
"23",0.363454121095274,0.256419247157247
"24",0.385214305008406,0.263519646367068
"25",0.407122506626997,0.269863881525559
"26",0.429202437129454,0.27551740039525
"27",0.451472395465274,0.28054113285613
"28",0.473946200028532,0.284991407379229
"29",0.496633991073565,0.288920008501368
"30",0.519542911270202,0.292374334464184
"31",0.542677676041158,0.295397621296746
"32",0.566041047075787,0.298029206816523
"33",0.589634222571737,0.300304814523553
"34",0.613457156980334,0.302256842844174
"35",0.607348275408168,0.327569980071996
"36",0.599683528738591,0.352622073342017
"37",0.591652925440489,0.376553388562601
"38",0.583206553414116,0.399490772314148
"39",0.574288534907412,0.421551905328133
"40",0.564835398988555,0.442847590435175
"41",0.554773973066981,0.463484017955346
"42",0.544018590334218,0.48356514449807
"43",0.532467303815267,0.503195362656973
"44",0.51999662116564,0.522482715556194
"45",0.506453969599403,0.541543048727633
"46",0.491646550706207,0.560505747729654
"47",0.475324200583528,0.579522202560275
"48",0.457151757529193,0.598779144664288
"49",0.436661818686788,0.618521211840672
"50",0.413167618137383,0.639092452714351
"51",0.385585131596767,0.66102126314839
"52",0.352012622781674,0.685222158022654
"53",0.308475891936082,0.713602106699446
"54",0.242956177009331,0.751971734838071
"55",4.02270784425115e-29,0.876543212014278
"56",9.59418691326167e-33,0.878787878968921
"57",1.71524452481055e-33,0.880952382073347
"58",6.72448320884626e-34,0.88304093568419
"59",3.71798204524756e-34,0.885057471419971
"60",2.32947655994556e-34,0.887005649244614
"61",1.51533832895197e-34,0.888888889703904
"62",1.08112899602167e-34,0.89071037951511
"63",8.08583686536183e-35,0.892473117451025
"64",6.41788828927908e-35,0.894179889910427
"65",4.98180517823049e-35,0.895833335190081
"66",3.989150587516e-35,0.897435896881052
"67",3.33748700206374e-35,0.898989900043891
"68",2.76390706525182e-35,0.900497513419284
"69",2.26580212779491e-35,0.901960783755118
"70",1.98272535041721e-35,0.903381643801805
"71",1.67699810457917e-35,0.904761904958566
"72",1.42068192465865e-35,0.90610328408948
"73",1.28523883492123e-35,0.907407407360178
"74",1.14454422956976e-35,0.908675797378353
"75",9.76486511790661e-36,0.90990991059822
"76",8.79446318560498e-36,0.911111110348568
"77",7.97367551905094e-36,0.912280698031299
"78",7.22923885823459e-36,0.913419911673998
"79",6.38215655106404e-36,0.914529914665896
"80",5.89628363832507e-36,0.915611813474827
"81",5.33227704574548e-36,0.91666666518399
"82",4.92524152978404e-36,0.917695473177818
"83",4.58797008917198e-36,0.918699185486874
"84",4.19967305529666e-36,0.91967871466161
"85",3.83157042632599e-36,0.920634917242653
"86",3.66516976162115e-36,0.921568628335315
"87",3.42462802378568e-36,0.922480619471001
"88",3.14852769870314e-36,0.923371645548873
"89",2.935934237224e-36,0.924242423097687
"90",2.81494179496481e-36,0.925093630385679
"91",2.66655116791244e-36,0.925925925768906
"92",2.43065258998851e-36,0.926739925407638
"93",2.30475861154653e-36,0.927536229797198
"94",2.26071384064899e-36,0.928315413042989
"95",2.07582296502468e-36,0.92907801620165
"96",1.98939894188589e-36,0.929824562532686
"97",1.93609267248235e-36,0.93055555871302
"98",1.8009238417808e-36,0.931271475403649
"99",1.75571242146963e-36,0.931972787379976
"100",1.67796265674683e-36,0.932659934349678
"101",1.56575775417887e-36,0.93333333296629
"102",1.50919420311099e-36,0.933993402373981
"103",1.49026264886613e-36,0.934640518739519
"104",1.3796062658886e-36,0.935275079358875
"105",1.3526844371284e-36,0.935897436263479
"106",1.32910712633898e-36,0.93650793376491
"107",1.25957889287946e-36,0.937106915927962
"108",1.21709261846653e-36,0.937694702577394
"109",1.20621501871545e-36,0.938271604420165
"110",1.15945794239837e-36,0.938837923469383
"111",1.12349422261807e-36,0.939393941186097
"112",1.08847283729718e-36,0.9399399420544
"113",1.01900108202038e-36,0.940476188982145
"114",1.00904566092094e-36,0.941002949995069
"115",9.84037679514396e-37,0.941520466665049
"116",9.74846000750903e-37,0.942028987137482
"117",9.37747620275265e-37,0.942528732107027
"118",9.25392487168045e-37,0.943019943607483
"119",8.98014177153967e-37,0.943502823930168
"120",8.66052359863417e-37,0.943977587884711
"121",8.65911966153571e-37,0.944444444256099
"122",1.03686502312571e-36,0.944903581632933
"123",8.26315847117787e-37,0.945355190094262
"124",8.37503450886755e-37,0.945799458620063
"125",7.93944999861456e-37,0.946236559294885
"126",7.92731837696426e-37,0.946666667097126
"127",8.17144009038476e-37,0.94708994871888
"128",9.06673707808015e-37,0.947506559456905
"129",7.46372341450812e-37,0.947916668639369
"130",7.52335301522304e-37,0.948320413923259
"131",7.39457855463161e-37,0.948717948416078
"132",9.27428805632036e-37,0.949109413695944
"133",9.18047556748741e-37,0.94949495018567
"134",9.03012124830561e-37,0.94987468724947
"135",8.83066028815776e-37,0.950248756665774
"136",6.77994840072381e-37,0.950617282850222
"137",8.46588894029448e-37,0.95098039430169
"138",8.82279509773801e-37,0.95133819936367
"139",8.4862637412182e-37,0.951690822260818
"140",8.95329076415235e-37,0.952038370827296
"141",6.00997034732479e-37,0.952380955373347
"142",8.48788169137041e-37,0.952718676177115
"143",7.20012133127925e-37,0.95305164357754
"144",8.26339650487472e-37,0.953379952736559
"145",7.06647921529328e-37,0.9537037021838
"146",6.82730076331218e-37,0.95402298805974
"147",8.22162921615595e-37,0.954337900240961
"148",6.94713345755756e-37,0.954648527171289
"149",6.8972963765632e-37,0.954954955176462
"150",5.66857260839493e-37,0.955257267207493
"151",6.88608467838128e-37,0.955555555453369
